A,B,C,value,status
CENOURA KG,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00020117504515008115,2
SUCO DE LARANJA INTEGRAL 2L,SACOLA PLASTICA MM BRANCA,,0.0004423564913243262,2
SUCO DE LARANJA INTEGRAL 2L,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000267471366847267,2
SUCO DE LARANJA INTEGRAL 2L,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00020231808517934299,2
CEBOLA KG KG,SACOLA PLASTICA MM BRANCA,,0.0004343552111194934,2
PAO ITALIANO MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.000424067850856137,2
LIMPOL 6X500ML DETERG LIQ NATURAL,SACOLA PLASTICA MM BRANCA,,0.0004206387307683515,2
LIMPOL 6X500ML DETERG LIQ NATURAL,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0006641062570011202,2
LIMPOL 6X500ML DETERG LIQ NATURAL,CR DE LEITE PIRACANJUBA TP 200G,,0.00020574720526712846,2
LIMPOL 6X500ML DETERG LIQ NATURAL,ACUC REF UNIAO 1KG,,0.0002903321674325035,2
LIMPOL 6X500ML DETERG LIQ NATURAL,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00041949569073908966,2
BANANA NANICA KG,SACOLA PLASTICA MM BRANCA,,0.0004160665706513042,2
BANANA NANICA KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022860800585236494,2
BANANA NANICA KG,SACOLA PLASTICA MM CINZA,,0.00021832064558900853,2
BATATA PALITO 2KG MCCAIN,SACOLA PLASTICA MM BRANCA,,0.00040920833047573325,2
BATATA PALITO 2KG MCCAIN,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002537548864961251,2
BISC POLV SALGADO 300G MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.0004057792103879478,2
BISC POLV SALGADO 300G MEMBERS MARK,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00026061312667169606,2
CR DE LEITE PIRACANJUBA TP 200G,SACOLA PLASTICA MM BRANCA,,0.00040006401024163864,2
CR DE LEITE PIRACANJUBA TP 200G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00040806529044647144,2
CR DE LEITE PIRACANJUBA TP 200G,ACUC REF UNIAO 1KG,,0.000221749765676794,2
CR DE LEITE PIRACANJUBA TP 200G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00026061312667169606,2
"SUCO OQ UVA INTEGRAL 1,5L",SACOLA PLASTICA MM BRANCA,,0.0003920627300368059,2
BATATA PALITO 2KG MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.000371488009510093,2
PAPEL TOALHA SNOB HIPER 360 FLS,SACOLA PLASTICA MM BRANCA,,0.0003692019294515694,2
LEITE COND MOCA LT 395G,SACOLA PLASTICA MM BRANCA,,0.00036805888942230755,2
LEITE COND MOCA LT 395G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003703449694808312,2
LEITE COND MOCA LT 395G,CR DE LEITE PIRACANJUBA TP 200G,,0.00025604096655464873,2
LEITE COND MOCA LT 395G,ACUC REF UNIAO 1KG,,0.00026061312667169606,2
WAFFLE TRAD 525G FORNO DE MINAS,SACOLA PLASTICA MM BRANCA,,0.00036691584939304575,2
WAFFLE TRAD 525G FORNO DE MINAS,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022289280570605583,2
KETCHUP HEINZ 1.033KG,SACOLA PLASTICA MM BRANCA,,0.00036577280936378394,2
KETCHUP HEINZ 1.033KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023318016596941225,2
CREME DENTAL TRIPLA ACAO 6X90G COLG,SACOLA PLASTICA MM BRANCA,,0.00036577280936378394,2
CREME DENTAL TRIPLA ACAO 6X90G COLG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00039892097021237684,2
CREME DENTAL TRIPLA ACAO 6X90G COLG,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002354662460279359,2
SUCO NATURAL ONE LARANJA 2L,SACOLA PLASTICA MM BRANCA,,0.0003554854491004275,2
PAPEL REPORT MULT A4 BRANCO 500 F,SACOLA PLASTICA MM BRANCA,,0.00034519808883707107,2
PAPEL REPORT MULT A4 BRANCO 500 F,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002171776055597467,2
MAMAO PAPAYA KG,SACOLA PLASTICA MM BRANCA,,0.0003429120087785474,2
SHAMPOO ALTA MODA BB CREAM 1LT,SACOLA PLASTICA MM BRANCA,,0.0003383398486615001,2
BRIOCHE FRANCES MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.00033491072857371465,2
FILTRO DE PAPEL120UN MM TAM 103,SACOLA PLASTICA MM BRANCA,,0.000332624648515191,2
FILTRO DE PAPEL120UN MM TAM 103,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00043892737123654073,2
FILTRO DE PAPEL120UN MM TAM 103,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00023318016596941225,2
BATATA ESPECIAL KG KG,SACOLA PLASTICA MM BRANCA,,0.0003314816084859292,2
LIMAO TAITI KG,SACOLA PLASTICA MM BRANCA,,0.0003314816084859292,2
BISNAGUINHAS 300G PANCO,SACOLA PLASTICA MM BRANCA,,0.0003291955284274055,2
BISNAGUINHAS 300G PANCO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023660928605719772,2
LIMPOL DETERGENTE LOUCA NEUTRO 5LT,SACOLA PLASTICA MM BRANCA,,0.0003291955284274055,2
LIMPOL DETERGENTE LOUCA NEUTRO 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00048807809249479917,2
LIMPOL DETERGENTE LOUCA NEUTRO 5LT,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0003189081681640491,2
MANTEIGA AVIACAO COM SAL POTE 500G,SACOLA PLASTICA MM BRANCA,,0.0003234803282810964,2
MANTEIGA AVIACAO COM SAL POTE 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000352056329012642,2
TOMATE GRANEL KG,SACOLA PLASTICA MM BRANCA,,0.0003200512081933109,2
BACON MINI CARDEAL PECA KG,SACOLA PLASTICA MM BRANCA,,0.0003200512081933109,2
BRILUX 5LT AGUA SANITARIA,SACOLA PLASTICA MM BRANCA,,0.0003189081681640491,2
LINGUICA CALABRESA SADIA 500G,SACOLA PLASTICA MM BRANCA,,0.0003177651281347873,2
LINGUICA CALABRESA SADIA 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002446105662620305,2
PANO REUTILIZAVEL DURAMAX 3X58 PANO,SACOLA PLASTICA MM BRANCA,,0.0003109068879592163,2
PANO REUTILIZAVEL DURAMAX 3X58 PANO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0004012070502709005,2
AZEITE EV ITALIANO ORGANICO 1L MM,SACOLA PLASTICA MM BRANCA,,0.0003006195276958599,2
AZEITE EV ITALIANO ORGANICO 1L MM,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023889536611572138,2
DANONE MORANGO 1350G,SACOLA PLASTICA MM BRANCA,,0.0002994764876665981,2
DORITOS NACHO 300GR,SACOLA PLASTICA MM BRANCA,,0.00029833344763733623,2
ALHO KG,SACOLA PLASTICA MM BRANCA,,0.0002960473675788126,2
PH ROYAL CARE FD FD 40 ROLOS X 30M,SACOLA PLASTICA MM BRANCA,,0.00029261824749102715,2
PH ROYAL CARE FD FD 40 ROLOS X 30M,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00038749056991975857,2
PH ROYAL CARE FD FD 40 ROLOS X 30M,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00029261824749102715,2
DESENGORDURANTE 1.1LT MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.0002903321674325035,2
DESENGORDURANTE 1.1LT MEMBERS MARK,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023660928605719772,2
DESENGORDURANTE 1.1LT MEMBERS MARK,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002571840065839106,2
PAO DE QJO COQUET 1K FORNO DE MINAS,SACOLA PLASTICA MM BRANCA,,0.00028461696728619435,2
MARGARINA QUALY COM SAL 500G,SACOLA PLASTICA MM BRANCA,,0.0002811878471984089,2
